year,health_board,age,sex,incident_cases,crude_rate,easr
2009,NHS Ayrshire & Arran,0-44 years,Male,23,23.43065544711803,25.097591236058424
2009,NHS Ayrshire & Arran,0-44 years,Female,14,13.875398917718885,12.758562371207978
2009,NHS Ayrshire & Arran,45-64 years,Male,125,246.95260485607602,246.40911983556802
2009,NHS Ayrshire & Arran,45-64 years,Female,88,162.1970325315639,161.24212047888673
2009,NHS Ayrshire & Arran,65-74 years,Male,114,651.8382983589685,659.7148363935055
2009,NHS Ayrshire & Arran,65-74 years,Female,97,480.91224590976697,481.68666193840835
2009,NHS Ayrshire & Arran,75plus years,Male,216,1862.0689655172412,1969.0222840333602
2009,NHS Ayrshire & Arran,75plus years,Female,334,1765.4210053385486,1795.7587038832316
2009,NHS Borders,0-44 years,Male,9,31.59335837399516,31.49776726080822
2009,NHS Borders,0-44 years,Female,7,24.127115431013685,25.27963308671782
2009,NHS Borders,45-64 years,Male,36,218.4466019417476,213.32360342001402
2009,NHS Borders,45-64 years,Female,22,130.02364066193851,127.71049667003494
2009,NHS Borders,65-74 years,Male,44,768.0223424681445,779.2058394717745
2009,NHS Borders,65-74 years,Female,31,483.77028714107365,493.27079558296373
2009,NHS Borders,75plus years,Male,70,1683.9066634592255,1845.9734132549304
2009,NHS Borders,75plus years,Female,109,1767.7586766136878,1742.7039715857961
2009,NHS Dumfries & Galloway,0-44 years,Male,4,10.75413362011023,9.910591844761905
2009,NHS Dumfries & Galloway,0-44 years,Female,4,10.666951118696499,10.8249560232744
2009,NHS Dumfries & Galloway,45-64 years,Male,42,192.1053835246764,193.47173185208715
2009,NHS Dumfries & Galloway,45-64 years,Female,36,158.0056179775281,153.27784297281755
2009,NHS Dumfries & Galloway,65-74 years,Male,49,589.6510228640193,598.7545610849988
2009,NHS Dumfries & Galloway,65-74 years,Female,39,431.5591457342038,434.1026480815406
2009,NHS Dumfries & Galloway,75plus years,Male,96,1655.7433597792344,1894.5758686544818
2009,NHS Dumfries & Galloway,75plus years,Female,156,1830.1267010793053,1849.2484735539751
2009,NHS Fife,0-44 years,Male,12,12.073527784205814,12.286741807953128
2009,NHS Fife,0-44 years,Female,17,16.839686187495047,16.840049824930755
2009,NHS Fife,45-64 years,Male,92,190.80407325217246,188.88710511862251
2009,NHS Fife,45-64 years,Female,75,148.74164567756776,147.3314962408778
2009,NHS Fife,65-74 years,Male,106,681.0588537650989,687.4185425733516
2009,NHS Fife,65-74 years,Female,98,553.8913694681512,555.732151351858
2009,NHS Fife,75plus years,Male,201,1878.855860908581,1975.1525268218015
2009,NHS Fife,75plus years,Female,346,2021.9728845254792,2022.1424409743397
2009,NHS Forth Valley,0-44 years,Male,13,15.583792855430351,15.265105241421713
2009,NHS Forth Valley,0-44 years,Female,16,18.93289472127229,18.398788723612522
2009,NHS Forth Valley,45-64 years,Male,101,262.9318199567855,263.25651829951494
2009,NHS Forth Valley,45-64 years,Female,65,162.80933774170924,163.7494280778913
2009,NHS Forth Valley,65-74 years,Male,85,696.4358869315854,697.7072391685157
2009,NHS Forth Valley,65-74 years,Female,79,562.8384155029923,568.05057870848
2009,NHS Forth Valley,75plus years,Male,141,1793.6649281261925,1907.3837234754872
2009,NHS Forth Valley,75plus years,Female,254,2007.587733164717,2020.1371067821203
2009,NHS Grampian,0-44 years,Male,28,17.31483943578359,17.302221736007336
2009,NHS Grampian,0-44 years,Female,17,10.874780105549336,10.699811777123328
2009,NHS Grampian,45-64 years,Male,124,165.62040870842793,166.576182844068
2009,NHS Grampian,45-64 years,Female,84,113.22738485179343,114.71037929804773
2009,NHS Grampian,65-74 years,Male,135,607.5881002745398,613.4982727784832
