approx_year,healthboard_area_named,age_group,sex,diagnosis,number_of_discharges,crude_rate_discharge,easr_discharge,number_of_deaths,crude_rate_mortality,easr_mortality,hospitalstays,crude_rate_stays
2009,Ayrshire & Arran,0-44 years,All,Cerebrovascular Disease,42,21.32694201975,21.07462118525,5,2.538922,2.636909,NA,NA
2009,Ayrshire & Arran,0-44 years,All,Stroke,17,8.632333675249999,8.77128852075,3,1.523353,1.515158,NA,NA
2009,Ayrshire & Arran,0-44 years,All,Subarachnoid Haemorrhage,9.5,4.8239511715,4.650718146,1,0.507784,0.560876,NA,NA
2009,Ayrshire & Arran,0-44 years,All,TIAs and related syndromes,2.5,1.26946083475,1.1256781335,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,0-44 years,Female,Cerebrovascular Disease,22,22.02554963675,20.9866151835,0,0,0,NA,NA
2009,Ayrshire & Arran,0-44 years,Female,Stroke,7.5,7.5087101042499995,7.3532038395,0,0,0,NA,NA
2009,Ayrshire & Arran,0-44 years,Female,Subarachnoid Haemorrhage,6,6.006968084,5.4127996355,0,0,0,NA,NA
2009,Ayrshire & Arran,0-44 years,Female,TIAs and related syndromes,1.5,1.5017420205,1.297074541,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,0-44 years,Male,Cerebrovascular Disease,20,20.60793405525,21.162627189749998,5,5.151984,5.273819,NA,NA
2009,Ayrshire & Arran,0-44 years,Male,Stroke,9.5,9.7887686765,10.18937320475,3,3.09119,3.030315,NA,NA
2009,Ayrshire & Arran,0-44 years,Male,Subarachnoid Haemorrhage,3.5,3.6063884595,3.888636656,1,1.030397,1.121752,NA,NA
2009,Ayrshire & Arran,0-44 years,Male,TIAs and related syndromes,1,1.03039670275,0.954281726,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,45-64 years,All,Cerebrovascular Disease,173,163.0798525575,162.687355745,32,30.16506,29.9025,NA,NA
2009,Ayrshire & Arran,45-64 years,All,Stroke,121.5,114.53296004799999,114.65003518200001,17,16.02519,16.11279,NA,NA
2009,Ayrshire & Arran,45-64 years,All,Subarachnoid Haemorrhage,13,12.2545553955,11.787941413,9,8.483923,8.256542,NA,NA
2009,Ayrshire & Arran,45-64 years,All,TIAs and related syndromes,17,16.02518782525,16.054703091,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,45-64 years,Female,Cerebrovascular Disease,68.5,124.7768588975,123.898963355,14,25.50184,25.29139,NA,NA
2009,Ayrshire & Arran,45-64 years,Female,Stroke,41.5,75.5947393405,74.863498404,5,9.1078,9.052002,NA,NA
2009,Ayrshire & Arran,45-64 years,Female,Subarachnoid Haemorrhage,11.5,20.947939816,20.80332511825,7,12.75092,12.78088,NA,NA
